# girardi 2003
# log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   Mbol    u'    g'    r'    i'    z'    Flum
	9.90   0.92451310   0.9106   2.1697   3.7065   1.9995   -0.654   1.205   -0.028   -0.588   -0.809   -0.920   -0.82353789
	9.90   0.92462862   0.9092   2.2237   3.7044   1.9366   -0.789   1.103   -0.151   -0.722   -0.946   -1.061   -0.82339900
	9.90   0.92467731   0.9085   2.2363   3.7040   1.9220   -0.821   1.079   -0.180   -0.753   -0.978   -1.094   -0.82334046
	9.90   0.92474461   0.9076   2.2111   3.7053   1.9519   -0.758   1.123   -0.124   -0.691   -0.914   -1.027   -0.82325958
	9.90   0.92483270   0.9063   2.2720   3.7031   1.8816   -0.910   1.007   -0.264   -0.842   -1.069   -1.186   -0.82315371
	9.90   0.93918371   0.8332   2.2838   3.7026   1.8314   -0.940   1.102   -0.287   -0.891   -1.116   -1.229   -0.80621892
	9.90   0.93913466   0.8340   2.2230   3.7064   1.9076   -0.788   1.194   -0.159   -0.743   -0.960   -1.068   -0.80627577
	9.90   0.93913084   0.8341   2.2252   3.7062   1.9048   -0.793   1.192   -0.163   -0.749   -0.966   -1.074   -0.80628019
	9.90   0.93911177   0.8344   2.2857   3.7024   1.8294   -0.944   1.100   -0.290   -0.896   -1.121   -1.234   -0.80630230
	9.90   0.93910670   0.8344   2.2269   3.7059   1.9020   -0.797   1.192   -0.165   -0.753   -0.970   -1.079   -0.80630817
	9.90   0.93910360   0.8345   2.1573   3.7101   1.9885   -0.623   1.300   -0.017   -0.583   -0.792   -0.895   -0.80631177
	9.90   0.93910134   0.8345   2.1013   3.7135   2.0580   -0.483   1.389   0.102   -0.447   -0.649   -0.748   -0.80631439
	9.90   0.93909848   0.8345   2.0358   3.7181   2.1420   -0.319   1.487   0.239   -0.288   -0.482   -0.574   -0.80631771
	9.90   0.93909347   0.8345   1.9758   3.7234   2.2234   -0.169   1.562   0.359   -0.144   -0.328   -0.412   -0.80632351
	9.90   0.93908590   0.8346   1.9397   3.7269   2.2733   -0.079   1.612   0.431   -0.056   -0.234   -0.314   -0.80633229
	9.90   0.93905801   0.8347   1.8951   3.7317   2.3370   0.032   1.678   0.520   0.052   -0.117   -0.191   -0.80636462
	9.90   0.93900043   0.8348   1.8681   3.7348   2.3769   0.100   1.715   0.573   0.118   -0.045   -0.115   -0.80643137
	9.90   0.93884695   0.8352   1.8374   3.7386   2.4227   0.176   1.757   0.633   0.193   0.036   -0.029   -0.80660935
	9.90   0.93872947   0.8355   1.8220   3.7407   2.4466   0.215   1.775   0.662   0.230   0.077   0.015   -0.80674564
	9.90   0.93863624   0.8357   1.8122   3.7419   2.4615   0.240   1.788   0.681   0.254   0.103   0.042   -0.80685380
	9.90   0.93837911   0.8361   1.7950   3.7449   2.4910   0.282   1.803   0.710   0.296   0.150   0.093   -0.80715229
	9.90   0.93818051   0.8365   1.7845   3.7467   2.5086   0.309   1.814   0.728   0.321   0.178   0.124   -0.80738297
	9.90   0.93798977   0.8367   1.7765   3.7481   2.5223   0.329   1.821   0.742   0.340   0.200   0.147   -0.80760462
	9.90   0.93780637   0.8370   1.7706   3.7490   2.5323   0.343   1.827   0.752   0.355   0.216   0.164   -0.80781784
#	9.90   0.93762749   0.8373   1.7662   3.7498   2.5398   0.354   1.831   0.760   0.365   0.228   0.177   -0.80802590
#	9.90   0.93745214   0.8375   1.7629   3.7501   2.5443   0.363   1.837   0.767   0.373   0.236   0.186   -0.80822995
#	9.90   0.93738937   0.8376   1.7620   3.7501   2.5455   0.365   1.839   0.769   0.376   0.239   0.188   -0.80830301
#	9.90   0.93726814   0.8378   1.7604   3.7501   2.5471   0.369   1.843   0.773   0.380   0.243   0.192   -0.80844416
	9.90   0.93708009   0.8380   1.7586   3.7496   2.5472   0.373   1.851   0.780   0.385   0.247   0.196   -0.80866319
#	9.90   0.93688941   0.8383   1.7573   3.7489   2.5458   0.377   1.860   0.786   0.388   0.249   0.197   -0.80888538
#	9.90   0.93669742   0.8385   1.7565   3.7480   2.5428   0.379   1.870   0.793   0.391   0.250   0.197   -0.80910920
#	9.90   0.93651175   0.8387   1.7559   3.7470   2.5398   0.380   1.880   0.799   0.393   0.250   0.196   -0.80932577
#	9.90   0.93633068   0.8390   1.7556   3.7460   2.5360   0.381   1.889   0.805   0.394   0.250   0.194   -0.80953707
#	9.90   0.93615764   0.8392   1.7546   3.7452   2.5342   0.384   1.898   0.811   0.398   0.252   0.195   -0.80973908
#	9.90   0.93599111   0.8394   1.7521   3.7449   2.5354   0.390   1.907   0.819   0.404   0.258   0.201   -0.80993358
#9.90   0.93598461   0.8394   1.7519   3.7449   2.5355   0.390   1.908   0.819   0.405   0.258   0.201   -0.80994117
#9.90   0.93584704   0.8396   1.7474   3.7453   2.5417   0.401   1.915   0.829   0.416   0.270   0.213   -0.81010190
#9.90   0.93571085   0.8398   1.7417   3.7460   2.5506   0.416   1.923   0.840   0.430   0.285   0.230   -0.81026109
9.90   0.93560028   0.8399   1.7271   3.7495   2.5793   0.452   1.927   0.860   0.464   0.326   0.274   -0.81039036
	10.15   0.80009955   0.6786   1.6217   3.8324   2.9233   0.716   1.906   0.828   0.720   0.730   0.773   -1.00097169
	10.15   0.79090858   0.6857   1.6106   3.9510   3.4134   0.743   1.840   0.757   0.979   1.174   1.306   -1.01670685
	10.15   0.79094219   0.6857   1.6119   3.9495   3.4061   0.740   1.838   0.750   0.970   1.164   1.294   -1.01664851
	10.15   0.79099166   0.6856   1.6128   3.9487   3.4020   0.738   1.836   0.747   0.965   1.158   1.288   -1.01656267
	10.15   0.79104406   0.6856   1.6143   3.9470   3.3938   0.734   1.833   0.740   0.955   1.147   1.276   -1.01647178
	10.15   0.79109919   0.6856   1.6163   3.9445   3.3817   0.729   1.830   0.731   0.942   1.131   1.258   -1.01637614
	10.15   0.79115832   0.6855   1.6182   3.9422   3.3707   0.724   1.827   0.723   0.930   1.116   1.242   -1.01627360
	10.15   0.79121941   0.6855   1.6209   3.9390   3.3552   0.718   1.823   0.710   0.912   1.095   1.218   -1.01616766
	10.15   0.79128373   0.6854   1.6247   3.9342   3.3321   0.708   1.818   0.692   0.886   1.064   1.184   -1.01605616
	10.15   0.79135054   0.6853   1.6291   3.9284   3.3043   0.697   1.812   0.671   0.856   1.027   1.143   -1.01594035
	10.15   0.79141790   0.6853   1.6343   3.9215   3.2716   0.684   1.805   0.652   0.822   0.985   1.097   -1.01582363
	10.15   0.79148513   0.6852   1.6406   3.9131   3.2315   0.668   1.795   0.636   0.786   0.936   1.042   -1.01570714
	10.15   0.79155207   0.6851   1.6482   3.9028   3.1828   0.650   1.785   0.615   0.741   0.877   0.976   -1.01559119
	10.15   0.79162109   0.6850   1.6568   3.8909   3.1266   0.628   1.771   0.607   0.697   0.814   0.904   -1.01547165
	10.15   0.79169238   0.6849   1.6669   3.8771   3.0610   0.603   1.756   0.603   0.648   0.741   0.822   -1.01534821
	10.15   0.79176581   0.6847   1.6784   3.8611   2.9854   0.574   1.736   0.612   0.605   0.668   0.735   -1.01522108
	10.15   0.79184341   0.6845   1.6916   3.8429   2.8993   0.541   1.716   0.628   0.562   0.591   0.640   -1.01508676
	10.15   0.79192555   0.6842   1.7075   3.8231   2.8041   0.501   1.697   0.647   0.516   0.508   0.538   -1.01494464
	10.15   0.79204553   0.6838   1.7298   3.8047   2.7078   0.445   1.673   0.650   0.459   0.417   0.428   -1.01473708
	10.15   0.79208159   0.6836   1.7375   3.8003   2.6823   0.426   1.662   0.646   0.440   0.390   0.395   -1.01467471
	10.15   0.79212934   0.6834   1.7466   3.7960   2.6560   0.404   1.652   0.638   0.418   0.360   0.361   -1.01459215
	10.15   0.79221231   0.6830   1.7668   3.7873   2.6008   0.353   1.628   0.617   0.368   0.296   0.286   -1.01444870
	10.15   0.79225785   0.6827   1.8120   3.7708   2.4894   0.240   1.575   0.563   0.259   0.157   0.129   -1.01436999
	10.15   0.79226798   0.6826   1.8579   3.7522   2.3690   0.125   1.554   0.522   0.152   0.017   -0.035   -1.01435247
	10.15   0.79227096   0.6826   1.8931   3.7435   2.2991   0.037   1.529   0.471   0.069   -0.082   -0.145   -1.01434732
	10.15   0.79227328   0.6825   1.9666   3.7319   2.1790   -0.147   1.441   0.340   -0.108   -0.279   -0.357   -1.01434330
	10.15   0.79227424   0.6825   2.0239   3.7266   2.1005   -0.290   1.344   0.221   -0.248   -0.429   -0.514   -1.01434166
9.90   0.92883277   0.8363   2.0231   3.7258   2.1865   -0.288   1.341   0.229   -0.243   -0.426   -0.512   -0.81837163
9.90   0.92883563   0.8363   2.0913   3.7210   2.0990   -0.458   1.231   0.084   -0.410   -0.602   -0.694   -0.81836823
9.90   0.92883867   0.8362   2.1664   3.7166   2.0064   -0.646   1.102   -0.080   -0.594   -0.794   -0.892   -0.81836461
9.90   0.92884278   0.8362   2.2318   3.7129   1.9261   -0.809   0.992   -0.222   -0.754   -0.962   -1.065   -0.81835972
9.90   0.92884570   0.8361   2.2527   3.7119   1.9011   -0.862   0.955   -0.269   -0.806   -1.015   -1.120   -0.81835625
9.90   0.92886615   0.8358   2.2125   3.7140   1.9495   -0.761   1.024   -0.180   -0.707   -0.912   -1.014   -0.81833193
9.90   0.92890835   0.8352   2.2740   3.7107   1.8745   -0.915   0.920   -0.315   -0.858   -1.070   -1.176   -0.81828174
9.90   0.92893642   0.8347   2.3562   3.7064   1.7750   -1.121   0.778   -0.495   -1.059   -1.280   -1.392   -0.81824836
9.90   0.92895925   0.8341   2.4317   3.7026   1.6839   -1.309   0.648   -0.660   -1.244   -1.473   -1.590   -0.81822121
9.90   0.92897505   0.8335   2.4946   3.6996   1.6086   -1.467   0.541   -0.797   -1.398   -1.634   -1.755   -0.81820243
9.90   0.92898935   0.8329   2.5624   3.6963   1.5272   -1.636   0.444   -0.940   -1.562   -1.805   -1.931   -0.81818542
9.90   0.92900240   0.8321   2.6201   3.6931   1.4565   -1.780   0.371   -1.057   -1.700   -1.951   -2.082   -0.81816990
9.90   0.92901593   0.8312   2.6849   3.6901   1.3790   -1.942   0.283   -1.192   -1.856   -2.115   -2.251   -0.81815382
9.90   0.92902702   0.8302   2.7489   3.6873   1.3035   -2.102   0.192   -1.326   -2.010   -2.276   -2.418   -0.81814064
9.90   0.92903519   0.8292   2.8110   3.6845   1.2296   -2.258   0.108   -1.455   -2.160   -2.434   -2.580   -0.81813093
9.90   0.92904294   0.8281   2.8775   3.6816   1.1511   -2.424   0.015   -1.594   -2.320   -2.602   -2.752   -0.81812172
9.90   0.92904925   0.8269   2.9369   3.6784   1.0781   -2.572   -0.053   -1.710   -2.460   -2.752   -2.908   -0.81811421
9.90   0.92905599   0.8254   2.9930   3.6757   1.0105   -2.713   -0.124   -1.823   -2.594   -2.893   -3.054   -0.81810620
9.90   0.92906314   0.8234   3.0565   3.6726   0.9337   -2.871   -0.182   -1.943   -2.742   -3.051   -3.218   -0.81809770
9.90   0.92906386   0.8231   3.0720   3.6719   0.9149   -2.910   -0.193   -1.972   -2.778   -3.090   -3.258   -0.81809685
9.90   0.92906499   0.8227   3.0858   3.6711   0.8981   -2.944   -0.203   -1.997   -2.810   -3.124   -3.294   -0.81809550
9.90   0.92906606   0.8223   3.0996   3.6704   0.8811   -2.979   -0.212   -2.022   -2.842   -3.158   -3.330   -0.81809423
9.90   0.92906713   0.8219   3.1134   3.6697   0.8642   -3.014   -0.221   -2.046   -2.873   -3.192   -3.365   -0.81809295
9.90   0.92906821   0.8215   3.1272   3.6690   0.8474   -3.048   -0.230   -2.071   -2.905   -3.226   -3.401   -0.81809167
9.90   0.92906934   0.8210   3.1410   3.6683   0.8303   -3.083   -0.239   -2.096   -2.936   -3.261   -3.436   -0.81809033
9.90   0.92907017   0.8206   3.1520   3.6677   0.8169   -3.110   -0.246   -2.115   -2.961   -3.288   -3.465   -0.81808934
