# ID  name  B  Berr  V  Verr  R  Rerr  I  Ierr  psfMag_u  psfMagErr_u  psfMag_g  psfMagErr_g  psfMag_r  psfMagErr_r  psfMag_i  psfMagErr_i  psfMag_z  psfMagErr_z  good_u  good_g  good_r  good_i  good_z
1-752-40-3-315-92  L104-455  15.677  0  15.097  0  14.745  0  14.402  0  16.553  0.023  15.341  0.019  14.928  0.012  14.82  0.019  14.767  0.019  1  1  1  1  1
1-752-40-3-608-205  L107-S63  18.038  0  17.331  0  0  0  16.48  0  18.916  0.024  17.622  0.015  17.112  0.012  16.857  0.015  16.804  0.02  1  1  1  0  1
1-752-40-3-608-209  L107-S65  18.653  0  17.688  0  17.037  0  16.499  0  20.22  0.046  18.251  0.018  17.304  0.013  16.96  0.014  16.796  0.02  1  1  1  1  1
1-752-40-3-608-437  L107-S62  18.58  0  17.559  0  16.883  0  16.326  0  20.28  0.045  18.047  0.015  17.162  0.012  16.795  0.014  16.58  0.019  1  1  1  1  1
1-752-40-3-608-446  L107-S66  19.048  0  18.206  0  0  0  17.2  0  20.203  0.041  18.58  0.015  17.925  0.013  17.648  0.015  17.518  0.022  1  1  1  1  1
1-752-40-3-608-448  L107-S68  19.61  0  18.354  0  0  0  16.835  0  21.77  0.136  18.989  0.016  17.818  0.013  17.307  0.015  17.045  0.02  1  1  1  1  1
1-752-40-3-608-451  L107-S67  19.189  0  18.139  0  17.42  0  16.821  0  20.891  0.068  18.663  0.015  17.728  0.013  17.297  0.015  17.036  0.02  1  1  1  1  1
1-752-40-3-609-32  L107-S72  16.036  0  15.387  0  14.982  0  14.576  0  16.878  0.016  15.637  0.016  15.185  0.013  14.986  0.018  14.931  0.019  1  1  0  1  1
1-752-40-3-609-42  L107-S76  18.073  0  17.351  0  16.882  0  16.496  0  19.011  0.027  17.63  0.016  17.115  0.013  16.898  0.019  16.823  0.02  0  1  1  0  1
1-752-40-3-609-64  L107-S82  17.173  0  16.233  0  15.633  0  15.093  0  18.566  0.021  16.664  0.016  15.876  0.013  15.546  0.018  15.359  0.019  1  1  1  1  1
1-752-40-3-609-66  L107-S86  19.02  0  18.319  0  0  0  17.478  0  19.961  0.036  18.603  0.017  18.089  0.014  17.873  0.019  17.802  0.025  1  1  1  1  1
1-752-40-3-609-67  L107-S87  18.72  0  18.274  0  0  0  17.577  0  19.385  0.027  18.415  0.017  18.085  0.014  17.984  0.019  17.961  0.026  1  1  1  1  1
1-752-40-3-609-73  L107-S89  16.93  0  16.278  0  15.865  0  15.462  0  17.765  0.018  16.541  0.016  16.07  0.013  15.879  0.018  15.8  0.019  1  1  1  1  1
1-752-40-3-609-75  L107-457  15.719  0  14.91  0  14.417  0  13.962  0  16.894  0.016  15.27  0.016  14.644  0.013  14.403  0.018  14.292  0.019  1  1  1  1  1
1-752-40-3-609-82  L107-S93  18.575  0  18.005  0  17.61  0  17.281  0  19.416  0.026  18.201  0.017  17.813  0.013  17.672  0.019  17.601  0.023  1  1  1  1  1
1-752-40-3-609-111  L107-S95  18.825  0  18.143  0  17.67  0  17.233  0  19.553  0.029  18.411  0.017  17.887  0.013  17.635  0.019  17.483  0.023  1  1  1  1  1
1-752-40-3-609-135  L107-S96  18.138  0  17.278  0  16.726  0  16.278  0  19.367  0.027  17.655  0.016  16.96  0.013  16.714  0.018  16.577  0.02  1  1  1  1  1
1-752-40-3-609-181  L107-S98  18.836  0  18.328  0  0  0  17.619  0  19.412  0.027  18.506  0.017  18.157  0.014  18.054  0.019  17.977  0.026  1  1  1  1  1
1-752-40-3-609-185  L107-S99  17.244  0  16.295  0  15.703  0  15.132  0  18.619  0.021  16.739  0.016  15.948  0.013  15.642  0.018  15.44  0.019  1  1  1  1  1
1-752-40-3-609-191  L107-S102  16.485  0  15.54  0  0  0  14.448  0  17.95  0.018  15.988  0.016  15.174  0.013  14.908  0.018  14.754  0.019  1  1  1  1  1
1-752-40-3-609-196  L107-S104  19.151  0  17.851  0  0  0  16.304  0  21.275  0.09  18.55  0.017  17.34  0.013  16.822  0.018  16.499  0.02  1  1  1  1  1
1-752-40-3-609-198  L107-S107  17.905  0  17.237  0  0  0  16.242  0  18.696  0.021  17.519  0.016  17.023  0.013  16.802  0.018  16.595  0.02  1  1  1  1  1
1-752-40-3-609-208  L107-S111  0  0  17.819  0  0  0  16.932  0  19.411  0.027  18.104  0.017  17.574  0.014  17.45  0.021  17.244  0.022  1  1  1  1  1
1-752-40-3-609-209  L107-S119  19.282  0  18.463  0  0  0  17.468  0  20.303  0.045  18.849  0.018  18.158  0.014  17.949  0.02  17.733  0.024  1  1  1  1  1
1-752-40-3-609-228  L107-S115  0  0  15.832  0  0  0  14.992  0  17.358  0.017  16.142  0.016  15.604  0.013  15.445  0.018  15.347  0.019  1  1  1  1  1
1-752-40-3-609-232  L107-S30  17.75  0  17.091  0  0  0  16.282  0  18.549  0.02  17.363  0.016  16.87  0.013  16.746  0.018  16.631  0.02  1  1  1  1  1
1-752-40-3-609-236  L107-S34  17.566  0  16.677  0  0  0  15.649  0  18.861  0.022  17.087  0.016  16.378  0.013  16.124  0.018  15.971  0.019  1  1  1  1  1
1-752-40-3-609-258  L107-S118  17.392  0  16.413  0  15.822  0  15.227  0  18.645  0.021  16.892  0.016  16.068  0.013  15.698  0.018  15.487  0.019  1  1  1  1  1
1-752-40-3-609-263  L107-S129  18.141  0  17.434  0  17.001  0  16.59  0  19.002  0.023  17.755  0.016  17.18  0.013  17.035  0.019  16.922  0.021  1  1  1  1  1
1-752-40-3-609-266  L107-S132  18.018  0  16.795  0  16.086  0  15.423  0  19.734  0.031  17.386  0.016  16.345  0.013  15.888  0.018  15.62  0.019  1  1  1  1  1
