#'name','altname','hi_coords','cz','w50','size','m_hi','a40','other_obs','wiyn_obs',inst’,'mis',stacked’,proc'
HVC215.28+49.73+79,HI0959+19,095911.8+185535,84,22,16,6,no,,2014 Mar,pODI,,,
HVC215.57+55.63-62,HI1023+21,102309.0+204059,-60,16,8,5.6,no,,planned,,,,
HVC217.77+58.67+96,HI1037+21,103706.6+203058,98,23,11,5.8,no,WSRT,2013 Mar,pODI,,sj,
HVC212.68+62.39+64,HI1050+24,104932.4+235638,65,23,13,6,no,,2017 Apr,ODI,,sj,
HVC221.35+65.75+127,HI1108+21,110804.7+211414,127,25,14,5.7,no,,no,,,,
HVC197.61+70.83+93,HI1125+31,112508.5+303130,90,21,11,5.4,no,,no,,,,
HVC230.27+71.10+76,HI1134+20,113429.7+201249,74,17,7,5.3,no,,2013 Apr; poor seeing,pODI,,sj,done
HVC235.38+74.79+195,HI1151+20,115124.3+203220,192,21,8,5.3,no,WSRT,2013 Mar,pODI,mis,sj,done
HVC333.71+75.23+118,HI1322+14,132223.2+141408,109,24,8,5.2,no,,no,,,,
HVC15.96+63.90+44,HI1436+17,143557.6+171004,30,18,8,5.6,no,,2013 Apr; poor seeing,pODI,,,
HVC25.54+59.19+42,HI1502+19,150149.8+192701,27,25,9,5.6,no,,no,,,,
HVC24.33+53.49+21,HI1523+17,152259.6+164202,5,14,9,5.6,no,,no,,,,
HVC75.1-29.53+48,HI2033+18,203300.7+173500,37,14,8x8,,no,,2016 Oct,ODI,,,
HVC70.08-46.35-104,HI2238+02,223747.3+022105,-110,24,12x7,,no,,no,,,,
HVC81.63-51.52+46,HI2314+03,231416.4+032307,42,23,13x13,,no,,2016 Oct,ODI,,,
HVC99.70-31.72+68,HI2323+27,232250.6+270718,61,13,16x7,,no,,no,,,,
HVC107.25-35.87+49,HI2355+25,235521.4+251726,45,14,9x6,,no,,2015 Oct,ODI,,,
